Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.001961946487426758,2,0,0.028
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,7.295608520507812e-05,2,0,0.004
2,north/g.10.11.graphml,10,10,0,15,0,15,40,0,6.699562072753906e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,27,36,0,5.4836273193359375e-05,2,0,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,23,28,0,0.011560916900634766,2,1,0.001
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,24,34,0,0.010608911514282227,2,1,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,88,196,0,0.012717962265014648,2,1,0.006
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,12,12,0,0.0004329681396484375,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,78,188,0,0.011977195739746094,2,1,0.006
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,54,102,0,0.011025190353393555,2,1,0.003
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,14,14,0,5.507469177246094e-05,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,31,56,0,0.0009169578552246094,2,0,0.002
12,north/g.12.78.graphml,12,13,1,10,8,18,22,1,0.011049032211303711,2,1,0.001
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,25,36,2,0.01294708251953125,2,1,0.002
14,north/g.11.21.graphml,11,11,0,36,0,36,168,0,6.699562072753906e-05,2,0,0.005
15,north/g.12.49.graphml,12,14,0,13,10,23,32,0,0.010410070419311523,2,1,0.001
16,north/g.14.31.graphml,14,17,0,14,8,22,24,0,0.00049591064453125,2,0,0.001
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,33,52,1,0.013711929321289062,2,1,0.002
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,29,40,0,0.010261774063110352,2,1,0.002
19,north/g.15.14.graphml,15,18,0,31,23,54,126,0,0.011046171188354492,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,85,192,1,0.020972013473510742,2,1,0.006
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,73,194,3,0.020437002182006836,2,1,0.006
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,80,174,0,0.012072086334228516,2,1,0.005
23,north/g.11.3.graphml,11,11,0,7,5,12,12,0,0.0007128715515136719,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,90,204,5,0.04459190368652344,2,1,0.006
25,north/g.10.13.graphml,10,10,0,8,7,15,22,0,0.0012989044189453125,2,0,0.002
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,27,38,1,0.013339996337890625,2,1,0.003
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,42,80,0,0.012210845947265625,2,1,0.005
