Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,30,49,0,0.0010349750518798828,2,0,0.025
1,north/g.13.45.graphml,13,13,0,12,4,16,20,0,0.00033402442932128906,2,0,0.001
2,north/g.10.11.graphml,10,10,0,30,0,30,55,0,6.198883056640625e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,54,87,0,0.012937068939208984,2,1,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,46,75,0,0.0010869503021240234,2,0,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,48,84,0,0.0014469623565673828,2,0,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,176,404,0,0.026298999786376953,2,1,0.008
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,24,32,0,0.0003921985626220703,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,70,68,138,305,0,0.012589216232299805,2,1,0.006
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,108,214,0,0.011786222457885742,2,1,0.005
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,28,38,0,0.00033593177795410156,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,62,115,0,0.001138925552368164,2,0,0.003
12,north/g.12.78.graphml,12,13,1,20,16,36,59,1,0.0010118484497070312,2,0,0.002
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,50,92,2,0.0016300678253173828,2,0,0.002
14,north/g.11.21.graphml,11,11,0,0,0,0,0,0,0.000164031982421875,2,0,0.0
15,north/g.12.49.graphml,12,14,0,26,20,46,75,0,0.0009889602661132812,2,0,0.002
16,north/g.14.31.graphml,14,17,0,20,12,32,44,0,0.00039505958557128906,2,0,0.002
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,32,34,66,121,1,0.010962963104248047,2,1,0.003
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,24,22,46,75,0,0.0014460086822509766,2,0,0.002
19,north/g.15.14.graphml,15,18,0,40,34,74,135,0,0.011096954345703125,2,1,0.003
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,76,94,170,377,1,0.013081789016723633,2,1,0.008
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,66,80,146,364,3,0.013086795806884766,2,1,0.007
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,74,86,160,348,0,0.002157926559448242,2,0,0.007
23,north/g.11.3.graphml,11,11,0,14,10,24,34,0,0.0003337860107421875,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,68,112,180,448,5,0.024016141891479492,2,1,0.009
25,north/g.10.13.graphml,10,10,0,16,14,30,53,0,0.0009419918060302734,2,0,0.002
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,28,26,54,94,1,0.0012061595916748047,2,0,0.002
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,46,38,84,164,0,0.0013930797576904297,2,0,0.004
28,north/g.11.73.graphml,11,14,0,18,12,30,45,0,0.0010120868682861328,2,0,0.002
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,50,56,106,224,2,0.0016138553619384766,2,0,0.005
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,38,30,68,124,0,0.011932134628295898,2,1,0.003
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,16,14,30,47,0,0.0009288787841796875,2,0,0.001
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,10,4,14,15,0,0.00029087066650390625,2,0,0.001
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,48,44,92,190,0,0.011868000030517578,2,1,0.004
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,48,52,100,190,1,0.00409698486328125,2,1,0.004
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,70,74,144,316,0,0.01256704330444336,2,1,0.006
36,north/g.15.11.graphml,15,19,0,22,14,36,52,0,0.0006170272827148438,2,0,0.002
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,42,38,80,162,1,0.0017008781433105469,2,0,0.004
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,16,14,30,47,0,0.0006968975067138672,2,0,0.001
39,Rome-Lib/graficon11nodi/grafo2964.11,11,19,0,36,22,58,89,0,0.003468036651611328,2,1,0.003
40,north/g.14.16.graphml,14,14,0,42,24,66,133,0,0.0032150745391845703,2,1,0.003
41,Rome-Lib/graficon11nodi/grafo2139.11,11,15,3,48,64,112,252,4,0.011816024780273438,2,1,0.005
42,Rome-Lib/graficon11nodi/grafo3097.11,11,14,0,20,14,34,51,0,0.001055002212524414,2,0,0.002
43,north/g.12.121.graphml,12,15,9,40,74,114,269,12,0.002830028533935547,2,0,0.006
44,north/g.12.45.graphml,12,14,0,36,28,64,116,0,0.0013129711151123047,2,0,0.003
45,north/g.18.34.graphml,18,19,0,38,10,48,86,0,0.0011539459228515625,2,0,0.002
46,Rome-Lib/graficon14nodi/grafo285.14,14,18,1,62,70,132,279,1,0.012711048126220703,2,1,0.006
47,north/g.16.55.graphml,16,16,1,18,12,30,52,1,0.0007510185241699219,2,0,0.002
48,north/g.10.74.graphml,10,12,0,28,28,56,108,1,0.001190185546875,2,0,0.003
49,Rome-Lib/graficon13nodi/grafo530.13,13,14,0,44,44,88,170,0,0.001550912857055664,2,0,0.004
50,Rome-Lib/graficon20nodi/grafo755.20,20,28,0,122,124,246,547,2,0.003693103790283203,2,1,0.011
