Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.0004928112030029297,2,0,0.017
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,0.00023794174194335938,2,0,0.005
2,north/g.10.11.graphml,10,10,0,15,0,15,40,0,2.288818359375e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,27,36,0,0.002259969711303711,2,0,0.003
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,23,28,0,0.0002930164337158203,2,0,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,24,34,0,0.0011439323425292969,2,0,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,88,196,0,0.023054122924804688,2,1,0.008
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,12,12,0,0.0003809928894042969,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,78,188,0,0.012913227081298828,2,1,0.007
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,54,102,0,1.1325969696044922,2,1,0.004
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,14,14,0,0.00030803680419921875,2,0,0.002
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,31,56,0,0.011237144470214844,2,1,0.003
12,north/g.12.78.graphml,12,13,1,10,8,18,23,1,0.0011320114135742188,2,0,0.002
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,25,37,2,0.02271413803100586,2,1,0.005
14,north/g.11.21.graphml,11,11,0,36,0,36,168,0,6.103515625e-05,2,0,0.011
15,north/g.12.49.graphml,12,14,0,13,10,23,32,0,0.012176990509033203,2,1,0.003
16,north/g.14.31.graphml,14,17,0,14,8,22,24,0,0.0003991127014160156,2,0,0.003
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,33,52,1,1.1270549297332764,2,1,0.003
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,29,40,0,0.010930061340332031,2,1,0.003
19,north/g.15.14.graphml,15,18,0,31,23,54,126,0,0.0003781318664550781,2,0,0.005
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,85,192,1,1.1344611644744873,2,1,0.007
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,73,195,3,0.02289414405822754,2,1,0.007
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,80,174,0,0.012722015380859375,2,1,0.007
23,north/g.11.3.graphml,11,11,0,7,5,12,12,0,0.010503053665161133,2,1,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,90,204,5,0.032742977142333984,2,1,0.008
25,north/g.10.13.graphml,10,10,0,8,7,15,22,0,0.00031304359436035156,2,0,0.002
