Index,File,Nodes,NumLayers,NumEdges,EdgeDensity,AvgNodesPerLayer,AvgEdgesPerLayer
0,north/g.10.72.graphml,12,6,13,0.52,2.0,2.6
1,north/g.13.45.graphml,13,4,12,0.34285714285714286,3.25,4.0
2,north/g.10.11.graphml,10,5,14,1.0,2.0,3.5
3,Rome-Lib/graficon11nodi/grafo233.11,18,8,19,0.475,2.25,2.7142857142857144
4,Rome-Lib/graficon12nodi/grafo2240.12,16,7,17,0.4857142857142857,2.2857142857142856,2.8333333333333335
5,Rome-Lib/graficon11nodi/grafo324.11,13,5,13,0.40625,2.6,3.25
6,Rome-Lib/graficon11nodi/grafo1866.11,19,5,25,0.3246753246753247,3.8,6.25
7,Rome-Lib/graficon12nodi/grafo604.12,12,6,11,0.4782608695652174,2.0,2.2
8,Rome-Lib/graficon16nodi/grafo418.16,19,5,21,0.2727272727272727,3.8,5.25
9,Rome-Lib/graficon15nodi/grafo2806.15,18,6,20,0.3333333333333333,3.0,4.0
10,Rome-Lib/graficon11nodi/grafo2384.11,15,8,16,0.5714285714285714,1.875,2.2857142857142856
11,Rome-Lib/graficon10nodi/grafo1010.10,12,4,12,0.35294117647058826,3.0,4.0
12,north/g.12.78.graphml,13,6,17,0.7083333333333334,2.1666666666666665,3.4
13,Rome-Lib/graficon12nodi/grafo1843.12,14,6,17,0.53125,2.3333333333333335,3.4
14,north/g.11.21.graphml,11,3,10,1.0,3.6666666666666665,5.0
15,north/g.12.49.graphml,14,6,14,0.4,2.3333333333333335,2.8
16,north/g.14.31.graphml,17,7,16,0.42105263157894735,2.4285714285714284,2.6666666666666665
17,Rome-Lib/graficon11nodi/grafo1061.11,13,4,13,0.38235294117647056,3.25,4.333333333333333
18,Rome-Lib/graficon14nodi/grafo777.14,17,7,17,0.4358974358974359,2.4285714285714284,2.8333333333333335
19,north/g.15.14.graphml,18,6,18,0.2903225806451613,3.0,3.6
20,Rome-Lib/graficon15nodi/grafo1971.15,19,5,24,0.3116883116883117,3.8,6.0
21,Rome-Lib/graficon11nodi/grafo1912.11,16,5,22,0.4583333333333333,3.2,5.5
22,Rome-Lib/graficon13nodi/grafo361.13,19,5,20,0.2702702702702703,3.8,5.0
23,north/g.11.3.graphml,11,5,10,0.5,2.2,2.5
24,Rome-Lib/graficon16nodi/grafo2241.16,17,5,20,0.3225806451612903,3.4,5.0
25,north/g.10.13.graphml,10,5,10,0.5263157894736842,2.0,2.5
26,Rome-Lib/graficon17nodi/grafo816.17,17,8,18,0.4864864864864865,2.125,2.5714285714285716
