Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,27,14,0,0.002904176712036133,2,0,0.031
1,north/g.13.45.graphml,13,13,0,31,2,46,4,0,0.0018758773803710938,2,0,0.002
2,north/g.10.11.graphml,10,10,0,15,0,25,0,0,0.0012879371643066406,2,0,0.001
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,45,24,0,0.001550912857055664,2,0,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,39,22,0,0.001399993896484375,2,0,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,37,22,0,0.029156923294067383,2,1,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,107,96,0,0.0077130794525146484,2,1,0.012
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,24,8,0,0.0022940635681152344,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,97,76,0,0.005192995071411133,2,0,0.007
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,72,54,0,0.0038971900939941406,2,1,0.005
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,29,10,0,0.001809835433959961,2,0,0.002
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,43,28,0,0.003373861312866211,2,0,0.004
12,north/g.12.78.graphml,12,13,1,10,8,31,17,1,0.0038480758666992188,2,0,0.003
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,39,27,2,0.016653776168823242,2,1,0.004
14,north/g.11.21.graphml,11,11,0,36,0,47,0,0,0.0030667781829833984,2,0,0.003
15,north/g.12.49.graphml,12,14,0,13,10,37,20,0,0.00234222412109375,2,0,0.002
16,north/g.14.31.graphml,14,17,0,14,8,39,16,0,0.003050088882446289,2,0,0.003
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,46,34,1,0.02387690544128418,2,1,0.005
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,46,26,0,0.0029091835021972656,2,0,0.004
19,north/g.15.14.graphml,15,18,0,31,23,72,46,0,0.00391697883605957,2,0,0.005
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,104,94,1,0.03446006774902344,2,1,0.007
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,89,81,3,0.028039932250976562,2,1,0.005
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,99,86,0,0.0038919448852539062,2,1,0.005
23,north/g.11.3.graphml,11,11,0,7,5,23,10,0,0.0014748573303222656,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,107,112,5,0.06200885772705078,2,1,0.006
25,north/g.10.13.graphml,10,10,0,8,7,25,14,0,0.0017020702362060547,2,0,0.002
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,44,27,1,0.001970052719116211,2,0,0.002
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,56,38,0,0.004467010498046875,2,0,0.006
28,north/g.11.73.graphml,11,14,0,9,6,29,12,0,0.003223896026611328,2,0,0.003
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,25,28,69,57,2,0.03299117088317871,2,1,0.005
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,19,15,47,30,0,0.002852916717529297,2,1,0.003
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,8,7,28,14,0,0.0028100013732910156,2,0,0.003
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,5,2,19,4,0,0.0010561943054199219,2,0,0.002
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,24,22,63,44,0,0.004663944244384766,2,1,0.006
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,24,26,67,52,1,0.024706125259399414,2,1,0.005
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,35,37,91,74,0,0.003923177719116211,2,0,0.006
36,north/g.15.11.graphml,15,19,0,17,7,43,14,0,0.002312183380126953,2,0,0.002
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,23,20,60,40,1,0.01906108856201172,2,1,0.003
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,9,7,28,14,0,0.001605987548828125,2,0,0.002
39,Rome-Lib/graficon11nodi/grafo2964.11,11,19,0,18,11,48,22,0,0.0015380382537841797,2,0,0.002
40,north/g.14.16.graphml,14,14,0,30,20,64,40,0,0.0020859241485595703,2,0,0.003
41,Rome-Lib/graficon11nodi/grafo2139.11,11,15,3,24,32,71,67,4,0.020685911178588867,2,1,0.008
42,Rome-Lib/graficon11nodi/grafo3097.11,11,14,0,10,7,31,14,0,0.002045154571533203,2,0,0.002
43,north/g.12.121.graphml,12,15,9,20,37,72,83,9,0.015584945678710938,2,1,0.006
44,north/g.12.45.graphml,12,14,0,18,14,46,28,0,0.002167940139770508,2,0,0.003
45,north/g.18.34.graphml,18,19,0,28,6,53,12,0,0.002012968063354492,2,0,0.002
46,Rome-Lib/graficon14nodi/grafo285.14,14,18,1,31,35,84,71,1,0.0027680397033691406,2,1,0.004
47,north/g.16.55.graphml,16,16,1,49,6,71,13,1,0.0025260448455810547,2,0,0.003
48,north/g.10.74.graphml,10,12,0,14,14,40,28,1,0.016746997833251953,2,1,0.004
49,Rome-Lib/graficon13nodi/grafo530.13,13,14,0,22,22,58,44,0,0.002947092056274414,2,0,0.005
50,Rome-Lib/graficon20nodi/grafo755.20,20,28,0,61,62,151,124,2,0.053720951080322266,2,1,0.01
51,Rome-Lib/graficon17nodi/grafo1794.17,17,22,0,53,50,125,100,0,0.009570121765136719,2,1,0.013
